subject,body,sender,num_links,label
Meeting reminder for tomorrow,"Hi all, here is a quick update on our Q3 milestones. We are on track to complete the design phase by this Friday. More info at https://ourplatform.io/details",alex.rivera@ourplatform.io,1,legitimate
Your monthly newsletter,"Hi Morgan, attached is the invoice #34560 for your recent purchase of $2,452.14. Let us know if you have any questions about the charges or need a receipt.",priya.nair@teamworkspace.com,0,legitimate
Invoice for your recent purchase,"Hello Taylor, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates. More info at https://notifications.service.com/details",team.updates@notifications.service.com,1,legitimate
Welcome to our platform,"Hi Alex, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time.",alex.rivera@ourplatform.io,0,legitimate
Feedback request for recent support ticket,"Hi all, here is a quick update on our Q3 milestones. We are on track to complete the design phase by this Friday.",jordan.lee@ourplatform.io,0,legitimate
You have won a prize! Claim now,"Hi Morgan, invoice #56504 for $726.22 could not be processed. Update your payment method at http://prize-claim-center.xyz/pay-now to avoid late fees.",billing.department@prize-claim-center.xyz,1,phishing
Your order has shipped,"Welcome aboard, Casey! We're excited to have you join our platform. Here is a quick guide to help you get started with your new account.",billing@teamworkspace.com,0,legitimate
Your invoice #86818 could not be processed,Your parcel (tracking #21818) delivery failed due to an incomplete address. Confirm your details within 48 hours at http://login-secure-check.icu/delivery-confirm to reschedule delivery.,billing.department@login-secure-check.icu,1,phishing
Feedback request for recent support ticket,"Hello Casey, good news - your order #54296 has shipped and should arrive within 3-5 business days. You can track it using the link in your account.",priya.nair@company.com,0,legitimate
Action Required: Verify your account now,We were unable to process your last payment of $194.29. Please update your billing details urgently at http://prize-claim-center.xyz/billing-update to avoid service interruption.,it.helpdesk@prize-claim-center.xyz,1,phishing
Action Required: Verify your account now,"Dear Customer, we detected unusual activity on your account. Click the link below within 12 hours to verify your identity or your account will be suspended. http://account-support-team.ru/verify-account?ref=75570",account.security@account-support-team.ru,1,phishing
Welcome to our platform,"Hi everyone, please note that our servers will undergo scheduled maintenance on the 3rd from 1 AM to 3 AM. Some services may be briefly unavailable. More info at https://teamworkspace.com/details",billing@teamworkspace.com,1,legitimate
Bank Alert: Unauthorized transaction detected,Your parcel (tracking #55943) delivery failed due to an incomplete address. Confirm your details within 48 hours at http://verify-identity-now.top/delivery-confirm to reschedule delivery.,support.team@verify-identity-now.top,1,phishing
Final notice: Account closure in 24 hours,"Dear Customer, we detected unusual activity on your account. Click the link below within 24 hours to verify your identity or your account will be suspended. http://verify-identity-now.top/verify-account?ref=81057",account.security@verify-identity-now.top,1,phishing
Security Alert: Unusual login detected,"URGENT: Your subscription (order #49107) has been cancelled due to a billing issue of $1,911.86. Renew immediately at http://login-secure-check.icu/renew-now to avoid losing your data.",support.team@login-secure-check.icu,1,phishing
Re: 91888 follow-up,"Hi Jordan, following up on 96734 - let me know if you have any other questions, happy to help.",jordan.lee@teamworkspace.com,0,legitimate
Invoice for your recent purchase,"Hello Alex, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates. More info at https://teamworkspace.com/details",priya.nair@teamworkspace.com,1,legitimate
We noticed a new device sign-in,"URGENT: Your subscription (order #83822) has been cancelled due to a billing issue of $1,651.96. Renew immediately at http://account-verify-now.net/renew-now to avoid losing your data.",account.security@account-verify-now.net,1,phishing
Meeting reminder for tomorrow,"Hi everyone, please note that our servers will undergo scheduled maintenance on the 3rd from 1 AM to 3 AM. Some services may be briefly unavailable.",billing@notifications.service.com,0,legitimate
Bank Alert: Unauthorized transaction detected,Your account has been locked due to suspicious activity. Please confirm your username and password at http://prize-claim-center.xyz/login-confirm to restore access. Case ID: 20357,support.team@prize-claim-center.xyz,1,phishing
Your order has shipped,"Hi Morgan, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time.",priya.nair@notifications.service.com,0,legitimate
Meeting reminder for tomorrow,"Hello Morgan, good news - your order #41188 has shipped and should arrive within 3-5 business days. You can track it using the link in your account. More info at https://company.com/details",priya.nair@company.com,1,legitimate
Action Required: Verify your account now,We were unable to process your last payment of $639.72. Please update your billing details urgently at http://verify-identity-now.top/billing-update to avoid service interruption.,it.helpdesk@verify-identity-now.top,1,phishing
Your package could not be delivered,"Hi Chris, invoice #55242 for $1,775.14 could not be processed. Update your payment method at http://login-secure-check.icu/pay-now to avoid late fees.",no-reply@login-secure-check.icu,1,phishing
We noticed a new device sign-in,"Dear Customer, we detected unusual activity on your account. Click the link below within 6 hours to verify your identity or your account will be suspended. http://verify-identity-now.top/verify-account?ref=29917",no-reply@verify-identity-now.top,1,phishing
Bank Alert: Unauthorized transaction detected,Your parcel (tracking #74251) delivery failed due to an incomplete address. Confirm your details within 12 hours at http://verify-identity-now.top/delivery-confirm to reschedule delivery.,support.team@verify-identity-now.top,1,phishing
Immediate action needed: Password expired,"Hi Chris, invoice #85748 for $2,093.27 could not be processed. Update your payment method at http://login-secure-check.icu/pay-now to avoid late fees.",support.team@login-secure-check.icu,1,phishing
You have won a prize! Claim now,Your password will expire in 48 hours. Click here to reset it now: http://verify-identity-now.top/reset-password and avoid losing access to your account.,billing.department@verify-identity-now.top,1,phishing
Welcome to our platform,"Hi Priya, following up on 99006 - let me know if you have any other questions, happy to help.",priya.nair@company.com,0,legitimate
Invoice for your recent purchase,"Hello Jordan, good news - your order #51193 has shipped and should arrive within 3-5 business days. You can track it using the link in your account.",priya.nair@notifications.service.com,0,legitimate
Weekly team standup notes,"Good morning team, here are the notes from this week's standup on March 14. Please review the action items and update your tickets accordingly.",team.updates@teamworkspace.com,0,legitimate
Confirm your identity to avoid suspension,"Hi Morgan, invoice #17038 for $415.55 could not be processed. Update your payment method at http://verify-identity-now.top/pay-now to avoid late fees.",no-reply@verify-identity-now.top,1,phishing
Action Required: Verify your account now,We were unable to process your last payment of $599.74. Please update your billing details urgently at http://account-support-team.ru/billing-update to avoid service interruption.,support.team@account-support-team.ru,1,phishing
Final notice: Account closure in 24 hours,"Dear Customer, we detected unusual activity on your account. Click the link below within 6 hours to verify your identity or your account will be suspended. http://prize-claim-center.xyz/verify-account?ref=55706",no-reply@prize-claim-center.xyz,1,phishing
Your invoice #91083 could not be processed,Your parcel (tracking #30214) delivery failed due to an incomplete address. Confirm your details within 6 hours at http://account-verify-now.net/delivery-confirm to reschedule delivery.,billing.department@account-verify-now.net,1,phishing
Your monthly newsletter,"Hi everyone, please note that our servers will undergo scheduled maintenance on next Tuesday from 1 AM to 3 AM. Some services may be briefly unavailable. More info at https://ourplatform.io/details",priya.nair@ourplatform.io,1,legitimate
Your monthly newsletter,"Hello Priya, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates. More info at https://ourplatform.io/details",support@ourplatform.io,1,legitimate
Upcoming maintenance window notice,"Good morning team, here are the notes from this week's standup on March 14. Please review the action items and update your tickets accordingly.",billing@company.com,0,legitimate
Immediate action needed: Password expired,"We were unable to process your last payment of $1,190.60. Please update your billing details urgently at http://secure-login-update.com/billing-update to avoid service interruption.",it.helpdesk@secure-login-update.com,1,phishing
Security Alert: Unusual login detected,"Dear Customer, we detected unusual activity on your account. Click the link below within 48 hours to verify your identity or your account will be suspended. http://account-support-team.ru/verify-account?ref=98032",support.team@account-support-team.ru,1,phishing
Feedback request for recent support ticket,"Hello Morgan, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates.",jordan.lee@ourplatform.io,0,legitimate
Re: 95237 follow-up,"Hello Taylor, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates. More info at https://notifications.service.com/details",team.updates@notifications.service.com,1,legitimate
Action Required: Verify your account now,"Final Notice: Your account is scheduled for permanent closure on Monday, June 9. Verify your information within 48 hours at http://login-secure-check.icu/verify-now to prevent this.",account.security@login-secure-check.icu,1,phishing
Feedback request for recent support ticket,"Hello, we'd love to hear your feedback on support ticket #28554 we recently resolved. Your input helps us improve our service.",priya.nair@company.com,0,legitimate
Re: 37370 follow-up,"Welcome aboard, Sam! We're excited to have you join our platform. Here is a quick guide to help you get started with your new account.",support@ourplatform.io,0,legitimate
Your monthly newsletter,"Hi Taylor, following up on 28342 - let me know if you have any other questions, happy to help.",alex.rivera@teamworkspace.com,0,legitimate
Confirm your identity to avoid suspension,"Dear Taylor, our system detected a login attempt from an unrecognized device on the 3rd. If this wasn't you, secure your account now at http://account-support-team.ru/secure-login.",billing.department@account-support-team.ru,1,phishing
Weekly team standup notes,"Hi Jordan, thanks for your order. Your receipt total was $379.13. Reach out anytime with questions. More info at https://teamworkspace.com/details",jordan.lee@teamworkspace.com,1,legitimate
Weekly team standup notes,"Hi all, here is a quick update on our Q3 milestones. We are on track to complete the design phase by March 14.",priya.nair@company.com,0,legitimate
Your monthly newsletter,"Hi team, just a reminder that we have our project sync meeting on Monday, June 9 at 10 AM in the main conference room. Please bring your status updates.",jordan.lee@notifications.service.com,0,legitimate
Welcome to our platform,"Hi Alex, thanks for your order. Your receipt total was $1,378.30. Reach out anytime with questions. More info at https://notifications.service.com/details",team.updates@notifications.service.com,1,legitimate
Weekly team standup notes,"Hi everyone, please note that our servers will undergo scheduled maintenance on the 3rd from 1 AM to 3 AM. Some services may be briefly unavailable.",support@company.com,0,legitimate
Bank Alert: Unauthorized transaction detected,"Hi Alex, invoice #22015 for $883.82 could not be processed. Update your payment method at http://verify-identity-now.top/pay-now to avoid late fees.",billing.department@verify-identity-now.top,1,phishing
Final notice: Account closure in 24 hours,"We noticed a new device sign-in from an unrecognized location on this Friday. If this was not you, click http://verify-identity-now.top/report-unauthorized immediately.",support.team@verify-identity-now.top,1,phishing
Your package could not be delivered,"Dear Morgan, our system detected a login attempt from an unrecognized device on next Tuesday. If this wasn't you, secure your account now at http://login-secure-check.icu/secure-login.",account.security@login-secure-check.icu,1,phishing
Your package could not be delivered,"Congratulations! You have been selected to receive a $2,227.53 gift card. Claim your prize now by clicking here: http://account-verify-now.net/claim-prize before it expires on request #97881.",it.helpdesk@account-verify-now.net,1,phishing
Your monthly newsletter,"Hello, we'd love to hear your feedback on support ticket #16286 we recently resolved. Your input helps us improve our service.",billing@teamworkspace.com,0,legitimate
Your receipt from company.com,"Hi team, just a reminder that we have our project sync meeting on next Tuesday at 10 AM in the main conference room. Please bring your status updates.",support@company.com,0,legitimate
Welcome to our platform,"Good morning team, here are the notes from this week's standup on the 3rd. Please review the action items and update your tickets accordingly.",billing@notifications.service.com,0,legitimate
Final notice: Account closure in 24 hours,"We noticed a new device sign-in from an unrecognized location on the 3rd. If this was not you, click http://account-support-team.ru/report-unauthorized immediately.",no-reply@account-support-team.ru,1,phishing
Final notice: Account closure in 24 hours,Your account has been locked due to suspicious activity. Please confirm your username and password at http://billing-update-portal.co/login-confirm to restore access. Case ID: 41270,no-reply@billing-update-portal.co,1,phishing
Your order has shipped,"Hello Taylor, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates. More info at https://notifications.service.com/details",support@notifications.service.com,1,legitimate
You have won a prize! Claim now,"Congratulations! You have been selected to receive a $1,081.90 gift card. Claim your prize now by clicking here: http://secure-login-update.com/claim-prize before it expires on request #44311.",it.helpdesk@secure-login-update.com,1,phishing
Immediate action needed: Password expired,"URGENT: Your subscription (order #19225) has been cancelled due to a billing issue of $1,259.09. Renew immediately at http://login-secure-check.icu/renew-now to avoid losing your data.",account.security@login-secure-check.icu,1,phishing
Urgent: Your account will be suspended,Your account has been locked due to suspicious activity. Please confirm your username and password at http://prize-claim-center.xyz/login-confirm to restore access. Case ID: 77276,support.team@prize-claim-center.xyz,1,phishing
Invoice for your recent purchase,"Hi everyone, please note that our servers will undergo scheduled maintenance on March 14 from 1 AM to 3 AM. Some services may be briefly unavailable. More info at https://notifications.service.com/details",jordan.lee@notifications.service.com,1,legitimate
Security Alert: Unusual login detected,"We were unable to process your last payment of $2,016.92. Please update your billing details urgently at http://verify-identity-now.top/billing-update to avoid service interruption.",billing.department@verify-identity-now.top,1,phishing
Your invoice #89349 could not be processed,This is an automated alert from your bank. A transaction of $700.23 was flagged on next Tuesday. Verify this transaction immediately at http://billing-update-portal.co/secure-verify or your card will be blocked.,billing.department@billing-update-portal.co,1,phishing
Meeting reminder for tomorrow,"Hi Sam, following up on 36224 - let me know if you have any other questions, happy to help. More info at https://ourplatform.io/details",team.updates@ourplatform.io,1,legitimate
Meeting reminder for tomorrow,"Hi Chris, attached is the invoice #66317 for your recent purchase of $2,460.94. Let us know if you have any questions about the charges or need a receipt. More info at https://ourplatform.io/details",support@ourplatform.io,1,legitimate
Bank Alert: Unauthorized transaction detected,"This is an automated alert from your bank. A transaction of $1,074.92 was flagged on next Tuesday. Verify this transaction immediately at http://bank-alert-service.info/secure-verify or your card will be blocked.",account.security@bank-alert-service.info,1,phishing
Urgent: Your account will be suspended,"This is an automated alert from your bank. A transaction of $752.21 was flagged on Monday, June 9. Verify this transaction immediately at http://verify-identity-now.top/secure-verify or your card will be blocked.",no-reply@verify-identity-now.top,1,phishing
Your receipt from notifications.service.com,"Hi Taylor, thanks for your order. Your receipt total was $1,098.39. Reach out anytime with questions. More info at https://notifications.service.com/details",support@notifications.service.com,1,legitimate
Your invoice #24860 could not be processed,Your password will expire in 12 hours. Click here to reset it now: http://login-secure-check.icu/reset-password and avoid losing access to your account.,it.helpdesk@login-secure-check.icu,1,phishing
Your receipt from ourplatform.io,"Hi everyone, please note that our servers will undergo scheduled maintenance on August 21 from 1 AM to 3 AM. Some services may be briefly unavailable.",support@ourplatform.io,0,legitimate
Your invoice #46048 could not be processed,"Congratulations! You have been selected to receive a $2,248.11 gift card. Claim your prize now by clicking here: http://secure-login-update.com/claim-prize before it expires on request #98696.",account.security@secure-login-update.com,1,phishing
You have won a prize! Claim now,Congratulations! You have been selected to receive a $30.54 gift card. Claim your prize now by clicking here: http://secure-login-update.com/claim-prize before it expires on request #57294.,support.team@secure-login-update.com,1,phishing
Re: 40704 follow-up,"Good morning team, here are the notes from this week's standup on the 3rd. Please review the action items and update your tickets accordingly. More info at https://ourplatform.io/details",priya.nair@ourplatform.io,1,legitimate
Reminder: Submit your timesheet,"Hi Alex, attached is the invoice #45349 for your recent purchase of $843.42. Let us know if you have any questions about the charges or need a receipt. More info at https://notifications.service.com/details",alex.rivera@notifications.service.com,1,legitimate
Upcoming maintenance window notice,"Good morning team, here are the notes from this week's standup on next Tuesday. Please review the action items and update your tickets accordingly. More info at https://teamworkspace.com/details",priya.nair@teamworkspace.com,1,legitimate
Your order has shipped,"Welcome aboard, Morgan! We're excited to have you join our platform. Here is a quick guide to help you get started with your new account.",team.updates@company.com,0,legitimate
We noticed a new device sign-in,Your account has been locked due to suspicious activity. Please confirm your username and password at http://secure-login-update.com/login-confirm to restore access. Case ID: 74297,no-reply@secure-login-update.com,1,phishing
Your order has shipped,"Hello Chris, good news - your order #69241 has shipped and should arrive within 3-5 business days. You can track it using the link in your account. More info at https://notifications.service.com/details",support@notifications.service.com,1,legitimate
Action Required: Verify your account now,"We were unable to process your last payment of $1,854.75. Please update your billing details urgently at http://prize-claim-center.xyz/billing-update to avoid service interruption.",it.helpdesk@prize-claim-center.xyz,1,phishing
Project update: Q3 milestones,"Hi all, here is a quick update on our Q3 milestones. We are on track to complete the design phase by Monday, June 9. More info at https://notifications.service.com/details",team.updates@notifications.service.com,1,legitimate
Action Required: Verify your account now,Your password will expire in 48 hours. Click here to reset it now: http://prize-claim-center.xyz/reset-password and avoid losing access to your account.,account.security@prize-claim-center.xyz,1,phishing
Your order has shipped,"Hi Taylor, thanks for your order. Your receipt total was $1,702.44. Reach out anytime with questions. More info at https://company.com/details",billing@company.com,1,legitimate
Bank Alert: Unauthorized transaction detected,Your parcel (tracking #98587) delivery failed due to an incomplete address. Confirm your details within 24 hours at http://verify-identity-now.top/delivery-confirm to reschedule delivery.,billing.department@verify-identity-now.top,1,phishing
Weekly team standup notes,"Hello, we'd love to hear your feedback on support ticket #39428 we recently resolved. Your input helps us improve our service.",billing@notifications.service.com,0,legitimate
We noticed a new device sign-in,"Dear Jordan, our system detected a login attempt from an unrecognized device on March 14. If this wasn't you, secure your account now at http://account-support-team.ru/secure-login.",it.helpdesk@account-support-team.ru,1,phishing
Your order has shipped,"Hi team, just a reminder that we have our project sync meeting on next Tuesday at 10 AM in the main conference room. Please bring your status updates.",alex.rivera@ourplatform.io,0,legitimate
Invoice for your recent purchase,"Hi team, just a reminder that we have our project sync meeting on March 14 at 10 AM in the main conference room. Please bring your status updates.",alex.rivera@teamworkspace.com,0,legitimate
Welcome to our platform,"Welcome aboard, Sam! We're excited to have you join our platform. Here is a quick guide to help you get started with your new account.",priya.nair@ourplatform.io,0,legitimate
Bank Alert: Unauthorized transaction detected,Congratulations! You have been selected to receive a $981.81 gift card. Claim your prize now by clicking here: http://billing-update-portal.co/claim-prize before it expires on request #24801.,support.team@billing-update-portal.co,1,phishing
Re: 92359 follow-up,"Hi Taylor, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time.",billing@notifications.service.com,0,legitimate
You have won a prize! Claim now,"This is an automated alert from your bank. A transaction of $1,463.27 was flagged on March 14. Verify this transaction immediately at http://account-verify-now.net/secure-verify or your card will be blocked.",support.team@account-verify-now.net,1,phishing
Action Required: Verify your account now,Final Notice: Your account is scheduled for permanent closure on the 3rd. Verify your information within 24 hours at http://login-secure-check.icu/verify-now to prevent this.,it.helpdesk@login-secure-check.icu,1,phishing
Bank Alert: Unauthorized transaction detected,Your account has been locked due to suspicious activity. Please confirm your username and password at http://login-secure-check.icu/login-confirm to restore access. Case ID: 16980,account.security@login-secure-check.icu,1,phishing
Action Required: Verify your account now,"Dear Customer, we detected unusual activity on your account. Click the link below within 2 hours to verify your identity or your account will be suspended. http://billing-update-portal.co/verify-account?ref=43092",account.security@billing-update-portal.co,1,phishing
Your monthly newsletter,"Hi Casey, attached is the invoice #13517 for your recent purchase of $779.25. Let us know if you have any questions about the charges or need a receipt. More info at https://company.com/details",priya.nair@company.com,1,legitimate
Action Required: Verify your account now,Your account has been locked due to suspicious activity. Please confirm your username and password at http://account-support-team.ru/login-confirm to restore access. Case ID: 66040,billing.department@account-support-team.ru,1,phishing
Re: 25327 follow-up,"Welcome aboard, Morgan! We're excited to have you join our platform. Here is a quick guide to help you get started with your new account.",team.updates@notifications.service.com,0,legitimate
Confirm your identity to avoid suspension,"Dear Sam, our system detected a login attempt from an unrecognized device on the 3rd. If this wasn't you, secure your account now at http://secure-login-update.com/secure-login.",it.helpdesk@secure-login-update.com,1,phishing
Reminder: Submit your timesheet,"Hello, we'd love to hear your feedback on support ticket #28781 we recently resolved. Your input helps us improve our service.",billing@ourplatform.io,0,legitimate
Final notice: Account closure in 24 hours,Your parcel (tracking #99783) delivery failed due to an incomplete address. Confirm your details within 24 hours at http://secure-login-update.com/delivery-confirm to reschedule delivery.,support.team@secure-login-update.com,1,phishing
Re: 14782 follow-up,"Hi Taylor, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time.",team.updates@company.com,0,legitimate
Urgent: Your account will be suspended,"Dear Chris, our system detected a login attempt from an unrecognized device on next Tuesday. If this wasn't you, secure your account now at http://account-verify-now.net/secure-login.",billing.department@account-verify-now.net,1,phishing
Confirm your identity to avoid suspension,Your account has been locked due to suspicious activity. Please confirm your username and password at http://bank-alert-service.info/login-confirm to restore access. Case ID: 59236,account.security@bank-alert-service.info,1,phishing
Meeting reminder for tomorrow,"Hi Chris, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time.",billing@notifications.service.com,0,legitimate
Action Required: Verify your account now,Final Notice: Your account is scheduled for permanent closure on this Friday. Verify your information within 2 hours at http://verify-identity-now.top/verify-now to prevent this.,billing.department@verify-identity-now.top,1,phishing
Meeting reminder for tomorrow,"Hi Chris, attached is the invoice #66143 for your recent purchase of $761.68. Let us know if you have any questions about the charges or need a receipt.",support@teamworkspace.com,0,legitimate
Reminder: Submit your timesheet,"Good morning team, here are the notes from this week's standup on next Tuesday. Please review the action items and update your tickets accordingly.",support@teamworkspace.com,0,legitimate
Your monthly newsletter,"Good morning team, here are the notes from this week's standup on August 21. Please review the action items and update your tickets accordingly.",billing@teamworkspace.com,0,legitimate
Re: 48543 follow-up,"Hello Taylor, good news - your order #29669 has shipped and should arrive within 3-5 business days. You can track it using the link in your account.",team.updates@notifications.service.com,0,legitimate
Final notice: Account closure in 24 hours,Final Notice: Your account is scheduled for permanent closure on this Friday. Verify your information within 24 hours at http://login-secure-check.icu/verify-now to prevent this.,no-reply@login-secure-check.icu,1,phishing
Upcoming maintenance window notice,"Hello, we'd love to hear your feedback on support ticket #69454 we recently resolved. Your input helps us improve our service. More info at https://ourplatform.io/details",jordan.lee@ourplatform.io,1,legitimate
Upcoming maintenance window notice,"Hello Alex, good news - your order #22057 has shipped and should arrive within 3-5 business days. You can track it using the link in your account.",alex.rivera@teamworkspace.com,0,legitimate
Urgent: Your account will be suspended,"Congratulations! You have been selected to receive a $1,210.52 gift card. Claim your prize now by clicking here: http://verify-identity-now.top/claim-prize before it expires on request #11617.",no-reply@verify-identity-now.top,1,phishing
Feedback request for recent support ticket,"Hi Chris, attached is the invoice #25832 for your recent purchase of $1,729.33. Let us know if you have any questions about the charges or need a receipt.",jordan.lee@notifications.service.com,0,legitimate
Your order has shipped,"Hi Priya, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time.",billing@company.com,0,legitimate
Your order has shipped,"Hi Sam, following up on 55330 - let me know if you have any other questions, happy to help.",support@company.com,0,legitimate
We noticed a new device sign-in,"Congratulations! You have been selected to receive a $1,733.21 gift card. Claim your prize now by clicking here: http://verify-identity-now.top/claim-prize before it expires on request #67438.",billing.department@verify-identity-now.top,1,phishing
Immediate action needed: Password expired,Your parcel (tracking #98777) delivery failed due to an incomplete address. Confirm your details within 48 hours at http://billing-update-portal.co/delivery-confirm to reschedule delivery.,no-reply@billing-update-portal.co,1,phishing
Final notice: Account closure in 24 hours,Your password will expire in 24 hours. Click here to reset it now: http://login-secure-check.icu/reset-password and avoid losing access to your account.,support.team@login-secure-check.icu,1,phishing
Re: 55252 follow-up,"Hi all, here is a quick update on our Q3 milestones. We are on track to complete the design phase by the 3rd.",team.updates@notifications.service.com,0,legitimate
Your receipt from notifications.service.com,"Hi Alex, thanks for your order. Your receipt total was $1,361.20. Reach out anytime with questions.",alex.rivera@notifications.service.com,0,legitimate
Immediate action needed: Password expired,Your password will expire in 6 hours. Click here to reset it now: http://bank-alert-service.info/reset-password and avoid losing access to your account.,account.security@bank-alert-service.info,1,phishing
Your monthly newsletter,"Hi everyone, please note that our servers will undergo scheduled maintenance on next Tuesday from 1 AM to 3 AM. Some services may be briefly unavailable.",jordan.lee@teamworkspace.com,0,legitimate
Re: 60067 follow-up,"Hi everyone, please note that our servers will undergo scheduled maintenance on next Tuesday from 1 AM to 3 AM. Some services may be briefly unavailable. More info at https://company.com/details",jordan.lee@company.com,1,legitimate
Confirm your identity to avoid suspension,"Dear Customer, we detected unusual activity on your account. Click the link below within 2 hours to verify your identity or your account will be suspended. http://account-support-team.ru/verify-account?ref=93904",billing.department@account-support-team.ru,1,phishing
Your monthly newsletter,"Hi Alex, attached is the invoice #17017 for your recent purchase of $1,623.16. Let us know if you have any questions about the charges or need a receipt.",team.updates@teamworkspace.com,0,legitimate
Your order has shipped,"Hi all, here is a quick update on our Q3 milestones. We are on track to complete the design phase by this Friday.",jordan.lee@company.com,0,legitimate
Re: 78562 follow-up,"Good morning team, here are the notes from this week's standup on this Friday. Please review the action items and update your tickets accordingly. More info at https://ourplatform.io/details",billing@ourplatform.io,1,legitimate
Your monthly newsletter,"Hi Jordan, thanks for your order. Your receipt total was $1,658.04. Reach out anytime with questions.",team.updates@ourplatform.io,0,legitimate
Your receipt from notifications.service.com,"Hi Jordan, attached is the invoice #96867 for your recent purchase of $2,397.09. Let us know if you have any questions about the charges or need a receipt. More info at https://notifications.service.com/details",priya.nair@notifications.service.com,1,legitimate
Immediate action needed: Password expired,"Dear Customer, we detected unusual activity on your account. Click the link below within 48 hours to verify your identity or your account will be suspended. http://bank-alert-service.info/verify-account?ref=92991",it.helpdesk@bank-alert-service.info,1,phishing
Upcoming maintenance window notice,"Hi Sam, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time.",team.updates@teamworkspace.com,0,legitimate
You have won a prize! Claim now,"This is an automated alert from your bank. A transaction of $1,009.32 was flagged on March 14. Verify this transaction immediately at http://bank-alert-service.info/secure-verify or your card will be blocked.",it.helpdesk@bank-alert-service.info,1,phishing
We noticed a new device sign-in,We were unable to process your last payment of $953.04. Please update your billing details urgently at http://bank-alert-service.info/billing-update to avoid service interruption.,account.security@bank-alert-service.info,1,phishing
Welcome to our platform,"Hi Casey, thanks for your order. Your receipt total was $1,606.42. Reach out anytime with questions. More info at https://teamworkspace.com/details",alex.rivera@teamworkspace.com,1,legitimate
Urgent: Your account will be suspended,This is an automated alert from your bank. A transaction of $221.86 was flagged on this Friday. Verify this transaction immediately at http://secure-login-update.com/secure-verify or your card will be blocked.,support.team@secure-login-update.com,1,phishing
Your monthly newsletter,"Hi Sam, thanks for your order. Your receipt total was $736.39. Reach out anytime with questions.",team.updates@notifications.service.com,0,legitimate
Your invoice #39817 could not be processed,"Hi Alex, invoice #68153 for $696.88 could not be processed. Update your payment method at http://billing-update-portal.co/pay-now to avoid late fees.",billing.department@billing-update-portal.co,1,phishing
Invoice for your recent purchase,"Hi team, just a reminder that we have our project sync meeting on this Friday at 10 AM in the main conference room. Please bring your status updates.",jordan.lee@notifications.service.com,0,legitimate
Meeting reminder for tomorrow,"Hello Morgan, good news - your order #95054 has shipped and should arrive within 3-5 business days. You can track it using the link in your account.",support@teamworkspace.com,0,legitimate
Your package could not be delivered,Your account has been locked due to suspicious activity. Please confirm your username and password at http://account-verify-now.net/login-confirm to restore access. Case ID: 37400,it.helpdesk@account-verify-now.net,1,phishing
Reminder: Submit your timesheet,"Welcome aboard, Chris! We're excited to have you join our platform. Here is a quick guide to help you get started with your new account.",jordan.lee@ourplatform.io,0,legitimate
Security Alert: Unusual login detected,Your account has been locked due to suspicious activity. Please confirm your username and password at http://verify-identity-now.top/login-confirm to restore access. Case ID: 35729,no-reply@verify-identity-now.top,1,phishing
Your package could not be delivered,URGENT: Your subscription (order #90482) has been cancelled due to a billing issue of $694.96. Renew immediately at http://account-verify-now.net/renew-now to avoid losing your data.,support.team@account-verify-now.net,1,phishing
Your monthly newsletter,"Hello, we'd love to hear your feedback on support ticket #73269 we recently resolved. Your input helps us improve our service.",jordan.lee@ourplatform.io,0,legitimate
Project update: Q3 milestones,"Hi Priya, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time.",jordan.lee@company.com,0,legitimate
Action Required: Verify your account now,"Hi Morgan, invoice #80300 for $454.16 could not be processed. Update your payment method at http://verify-identity-now.top/pay-now to avoid late fees.",no-reply@verify-identity-now.top,1,phishing
Your order has shipped,"Good morning team, here are the notes from this week's standup on next Tuesday. Please review the action items and update your tickets accordingly.",support@teamworkspace.com,0,legitimate
Meeting reminder for tomorrow,"Hi team, just a reminder that we have our project sync meeting on next Tuesday at 10 AM in the main conference room. Please bring your status updates.",support@notifications.service.com,0,legitimate
Bank Alert: Unauthorized transaction detected,"Dear Morgan, our system detected a login attempt from an unrecognized device on Monday, June 9. If this wasn't you, secure your account now at http://billing-update-portal.co/secure-login.",billing.department@billing-update-portal.co,1,phishing
Re: 80074 follow-up,"Hello Taylor, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates. More info at https://teamworkspace.com/details",support@teamworkspace.com,1,legitimate
We noticed a new device sign-in,Your parcel (tracking #69245) delivery failed due to an incomplete address. Confirm your details within 48 hours at http://account-verify-now.net/delivery-confirm to reschedule delivery.,it.helpdesk@account-verify-now.net,1,phishing
